year,county_name,precinct_code,total_precinct_votes,total_registered_voters,voter_turnout,anomaly_score
2024,Chester,790,30427,4614,6.594495015171218,-0.08828760747978448
2024,York,10,35025,5307,6.599773883550029,-0.08828760747978448
2024,York,240,34671,5346,6.485409652076319,-0.08618203815311176
2024,Chester,880,29171,4456,6.546454219030521,-0.08513138846211221
2024,Chester,710,31506,4822,6.533803401078391,-0.08513138846211221
2024,York,200,37060,5901,6.280291476021014,-0.0817835185721334
2024,York,160,31316,4996,6.268214571657325,-0.0807388168122476
2024,York,610,31633,4960,6.377620967741936,-0.08021699581643482
2024,Franklin,250,23800,3487,6.825351304846573,-0.07937815959697392
2012,York,240,27082,4477,6.049140049140049,-0.07865364949951947
2024,Centre,610,30368,7654,3.967598641233342,-0.07852688869743585
2024,Cumberland,350,26776,4166,6.4272683629380705,-0.07709347318052118
2024,Franklin,50,24913,3842,6.484383133784487,-0.07625803532916531
2024,Chester,1832,25000,3860,6.476683937823834,-0.07625803532916531
2024,Butler,5,26127,4003,6.526854858855858,-0.07625803532916531
2020,York,200,24600,5533,4.446050966925719,-0.07345308785562876
2024,Chester,80,28011,4821,5.8102053515868075,-0.07335238003446909
2016,Chester,80,25467,4208,6.052043726235741,-0.07294845192234167
2016,Chester,790,25868,4268,6.060918462980319,-0.07294845192234167
2020,York,240,29494,5092,5.79222309505106,-0.07231907934494552
2020,York,10,28518,4898,5.822376480195999,-0.07231907934494552
2020,Chester,80,27434,4610,5.950976138828634,-0.07196006019158807
2024,York,155,29889,5094,5.8674911660777385,-0.07163424522711703
2024,Chester,1355,29268,4986,5.870036101083032,-0.07163424522711703
2016,York,240,28731,4908,5.853911980440098,-0.07163424522711703
2012,Chester,380,27153,4768,5.6948406040268456,-0.07128717594403422
2020,Monroe,173,22426,5770,3.8866551126516464,-0.07075885868417309
2016,Chester,710,24850,3984,6.237449799196787,-0.06985437625970636
2024,York,1010,24941,4092,6.095063538611925,-0.06985437625970636
2024,Montgomery,3320,26415,4443,5.945307224848076,-0.06938412995808474
2020,Chester,710,26737,4548,5.878847845206685,-0.06905941534109516
2020,Monroe,220,23507,5334,4.4070116235470564,-0.06892020708178292
2024,York,80,24823,4058,6.117052735337604,-0.06882580577203934
2020,Chester,790,26693,4619,5.778956484087465,-0.06871351818591687
2004,Lancaster,1230,26843,4656,5.765249140893471,-0.06871351818591687
2024,Chester,590,23466,3598,6.521956642579211,-0.06858912698604946
